title,section,clean_title,tokens
"U.Va. Wise reports record endowment, rising enrollment at Board of Visitors meeting",News,uva wise reports record endowment rising enrollment at board of visitors meeting,"['uva', 'wise', 'report', 'record', 'endowment', 'rising', 'enrollment', 'board', 'visitor', 'meeting']"
U.Va. rejects Trump administration Compact for Academic Excellence,News,uva rejects trump administration compact for academic excellence,"['uva', 'reject', 'trump', 'administration', 'compact', 'academic', 'excellence']"
Juice Laundry’s abrupt departure sparks mixed reactions among students,News,juice laundrys abrupt departure sparks mixed reactions among students,"['juice', 'laundry', 'abrupt', 'departure', 'spark', 'mixed', 'reaction', 'among', 'student']"
Student leaders weigh the future of self-governance after Ryan's departure,News,student leaders weigh the future of selfgovernance after ryans departure,"['student', 'leader', 'weigh', 'future', 'selfgovernance', 'ryans', 'departure']"
Voting in Virginia as a student — what you should know,News,voting in virginia as a student  what you should know,"['voting', 'virginia', 'student', 'know']"
Buildings and Grounds Committee approves design proposal for Center for the Arts,News,buildings and grounds committee approves design proposal for center for the arts,"['building', 'ground', 'committee', 'approves', 'design', 'proposal', 'center', 'art']"
Undecided student voters weigh in a week out from the Harris-Trump debate,News,undecided student voters weigh in a week out from the harristrump debate,"['undecided', 'student', 'voter', 'weigh', 'week', 'harristrump', 'debate']"
U.Va. Dine brings fresh options to three locations on Grounds,News,uva dine brings fresh options to three locations on grounds,"['uva', 'dine', 'brings', 'fresh', 'option', 'three', 'location', 'ground']"
‘This is not the Virginia way’: U.Va. alumni respond to President Ryan’s resignation,News,this is not the virginia way uva alumni respond to president ryans resignation,"['virginia', 'way', 'uva', 'alumnus', 'respond', 'president', 'ryans', 'resignation']"
Democratic Futures Project fellow Félix Maradiaga announces campaign to end arbitrary detention,News,democratic futures project fellow flix maradiaga announces campaign to end arbitrary detention,"['democratic', 'future', 'project', 'fellow', 'flix', 'maradiaga', 'announces', 'campaign', 'end', 'arbitrary', 'detention']"
Honor Committee to vote on bylaw proposal to increase case efficiency,News,honor committee to vote on bylaw proposal to increase case efficiency,"['honor', 'committee', 'vote', 'bylaw', 'proposal', 'increase', 'case', 'efficiency']"
U.Va. President Jim Ryan announces his resignation,News,uva president jim ryan announces his resignation,"['uva', 'president', 'jim', 'ryan', 'announces', 'resignation']"
From the Archives: Pride Month,News,from the archives pride month,"['archive', 'pride', 'month']"
Students and professors share their experience with fully online classes,News,students and professors share their experience with fully online classes,"['student', 'professor', 'share', 'experience', 'fully', 'online', 'class']"
"University construction wraps up summer projects, what now?",News,university construction wraps up summer projects what now,"['university', 'construction', 'wrap', 'summer', 'project']"
"Faculty question the motives behind FOIA requests for course materials, text messages",News,faculty question the motives behind foia requests for course materials text messages,"['faculty', 'question', 'motif', 'behind', 'foia', 'request', 'course', 'material', 'text', 'message']"
Faculty Senate discusses future of college athletics after NCAA reforms,News,faculty senate discusses future of college athletics after ncaa reforms,"['faculty', 'senate', 'discusses', 'future', 'college', 'athletics', 'ncaa', 'reform']"
Student Council passes resolution calling for change to on-Grounds housing timeline,News,student council passes resolution calling for change to ongrounds housing timeline,"['student', 'council', 'pass', 'resolution', 'calling', 'change', 'ongrounds', 'housing', 'timeline']"
"U.Va. Health leadership hosts Q&A, Rosner shares growth plan",News,uva health leadership hosts qa rosner shares growth plan,"['uva', 'health', 'leadership', 'host', 'qa', 'rosner', 'share', 'growth', 'plan']"
U.Va. expands summer study abroad offerings with new and returning programs,News,uva expands summer study abroad offerings with new and returning programs,"['uva', 'expands', 'summer', 'study', 'abroad', 'offering', 'new', 'returning', 'program']"
Board of Visitors hears presentations on viewpoint diversity and research funding,News,board of visitors hears presentations on viewpoint diversity and research funding,"['board', 'visitor', 'hears', 'presentation', 'viewpoint', 'diversity', 'research', 'funding']"
"Student Council hears from Director of Diversity Education, talks parking fines",News,student council hears from director of diversity education talks parking fines,"['student', 'council', 'hears', 'director', 'diversity', 'education', 'talk', 'parking', 'fine']"
"Several Justice Department investigations into the University resolved, Mahoney says",News,several justice department investigations into the university resolved mahoney says,"['several', 'justice', 'department', 'investigation', 'university', 'resolved', 'mahoney', 'say']"
"Audit, Compliance and Risk Committee discusses privacy and regulatory standards",News,audit compliance and risk committee discusses privacy and regulatory standards,"['audit', 'compliance', 'risk', 'committee', 'discusses', 'privacy', 'regulatory', 'standard']"
Students reflect on the election of first American pope,News,students reflect on the election of first american pope,"['student', 'reflect', 'election', 'first', 'american', 'pope']"
Fourth-Year Trustees reflect on efforts to create an engaged student body,News,fourthyear trustees reflect on efforts to create an engaged student body,"['fourthyear', 'trustee', 'reflect', 'effort', 'create', 'engaged', 'student', 'body']"
Graduating students share their future plans as they enter the job market,News,graduating students share their future plans as they enter the job market,"['graduating', 'student', 'share', 'future', 'plan', 'enter', 'job', 'market']"
U.Va. community hosts variety of events to celebrate Women’s History during March,News,uva community hosts variety of events to celebrate womens history during march,"['uva', 'community', 'host', 'variety', 'event', 'celebrate', 'womens', 'history', 'march']"
What incoming students can expect from McIntire’s new three-year program,News,what incoming students can expect from mcintires new threeyear program,"['incoming', 'student', 'expect', 'mcintires', 'new', 'threeyear', 'program']"
Former UJC Chair Harper Jones reflects on term with historic caseload,News,former ujc chair harper jones reflects on term with historic caseload,"['former', 'ujc', 'chair', 'harper', 'jones', 'reflects', 'term', 'historic', 'caseload']"
"Audit, Compliance and Risk Committee approves FY 2026 and 2027 audit proposals",News,audit compliance and risk committee approves fy  and  audit proposals,"['audit', 'compliance', 'risk', 'committee', 'approves', 'fy', 'audit', 'proposal']"
New Student Council administration share their goals for the 2025-26 term,News,new student council administration share their goals for the  term,"['new', 'student', 'council', 'administration', 'share', 'goal', 'term']"
Student Council to host “StudCo Week” to bolster student engagement,News,student council to host studco week to bolster student engagement,"['student', 'council', 'host', 'studco', 'week', 'bolster', 'student', 'engagement']"
Office of African American Affairs celebrates 40th anniversary of Peer Advisor Program,News,office of african american affairs celebrates th anniversary of peer advisor program,"['office', 'african', 'american', 'affair', 'celebrates', 'th', 'anniversary', 'peer', 'advisor', 'program']"
Career Center offers resources for students seeking professional opportunities,News,career center offers resources for students seeking professional opportunities,"['career', 'center', 'offer', 'resource', 'student', 'seeking', 'professional', 'opportunity']"
Previewing the September meeting of the Board of Visitors,News,previewing the september meeting of the board of visitors,"['previewing', 'september', 'meeting', 'board', 'visitor']"
Man dies from self-inflicted gunshot wounds at the Rotunda,News,man dies from selfinflicted gunshot wounds at the rotunda,"['man', 'dy', 'selfinflicted', 'gunshot', 'wound', 'rotunda']"
"University will not hold in-person classes Tuesday, Wednesday for winter storm",News,university will not hold inperson classes tuesday wednesday for winter storm,"['university', 'hold', 'inperson', 'class', 'tuesday', 'wednesday', 'winter', 'storm']"
New University Dean of Libraries Leo Lo discusses role of AI in education,News,new university dean of libraries leo lo discusses role of ai in education,"['new', 'university', 'dean', 'library', 'leo', 'lo', 'discusses', 'role', 'ai', 'education']"
Previewing the Board of Visitors’ June meeting,News,previewing the board of visitors june meeting,"['previewing', 'board', 'visitor', 'june', 'meeting']"
Honor Committee unanimously passes a change to the Honor sanctioning process,News,honor committee unanimously passes a change to the honor sanctioning process,"['honor', 'committee', 'unanimously', 'pass', 'change', 'honor', 'sanctioning', 'process']"
Unprecedented demand' for on-Grounds housing leaves many scrambling for options,News,unprecedented demand for ongrounds housing leaves many scrambling for options,"['unprecedented', 'demand', 'ongrounds', 'housing', 'leaf', 'many', 'scrambling', 'option']"
Students react to Ryan’s and Sheridan’s accounts of Ryan’s resignation,News,students react to ryans and sheridans accounts of ryans resignation,"['student', 'react', 'ryans', 'sheridan', 'account', 'ryans', 'resignation']"
U.Va. removes supplemental essay prompt from 2025-2026 undergraduate application,News,uva removes supplemental essay prompt from  undergraduate application,"['uva', 'remove', 'supplemental', 'essay', 'prompt', 'undergraduate', 'application']"
From the Archives: Global Connections,News,from the archives global connections,"['archive', 'global', 'connection']"
"Board of Visitors to vote on renaming Alderman Library, following tabling of conversation in December",News,board of visitors to vote on renaming alderman library following tabling of conversation in december,"['board', 'visitor', 'vote', 'renaming', 'alderman', 'library', 'following', 'tabling', 'conversation', 'december']"
School of Engineering and Applied Science hosts third annual Engineering Expo,News,school of engineering and applied science hosts third annual engineering expo,"['school', 'engineering', 'applied', 'science', 'host', 'third', 'annual', 'engineering', 'expo']"
From the archives: Nov. 4 – Nov. 10,News,from the archives nov   nov ,"['archive', 'nov', 'nov']"
U.Va.’s first post-affirmative action class sees minimal demographic change,News,uvas first postaffirmative action class sees minimal demographic change,"['uvas', 'first', 'postaffirmative', 'action', 'class', 'see', 'minimal', 'demographic', 'change']"
U.Va. loses over $60 million in federal research cuts,News,uva loses over  million in federal research cuts,"['uva', 'loses', 'million', 'federal', 'research', 'cut']"
Library Council writes its next chapter,News,library council writes its next chapter,"['library', 'council', 'writes', 'next', 'chapter']"
Honor Committee considers formal ban of AI detectors as evidence in trials,News,honor committee considers formal ban of ai detectors as evidence in trials,"['honor', 'committee', 'considers', 'formal', 'ban', 'ai', 'detector', 'evidence', 'trial']"
Peter Beinart speaks on being Jewish and opposing Israel,News,peter beinart speaks on being jewish and opposing israel,"['peter', 'beinart', 'speaks', 'jewish', 'opposing', 'israel']"
Secondary University compliance review extends to all 12 schools,News,secondary university compliance review extends to all  schools,"['secondary', 'university', 'compliance', 'review', 'extends', 'school']"
First years feel pressure as next year’s housing search is underway,News,first years feel pressure as next years housing search is underway,"['first', 'year', 'feel', 'pressure', 'next', 'year', 'housing', 'search', 'underway']"
U.Va. researcher finds potential way to treat Down Syndrome,News,uva researcher finds potential way to treat down syndrome,"['uva', 'researcher', 'find', 'potential', 'way', 'treat', 'syndrome']"
Cavalier Food Pantry relocates to Student Health and Wellness,News,cavalier food pantry relocates to student health and wellness,"['cavalier', 'food', 'pantry', 'relocates', 'student', 'health', 'wellness']"
Blue Ridge Center event discusses global religious censorship and free speech,News,blue ridge center event discusses global religious censorship and free speech,"['blue', 'ridge', 'center', 'event', 'discusses', 'global', 'religious', 'censorship', 'free', 'speech']"
Center for Politics interns campaign for a more engaged tomorrow,News,center for politics interns campaign for a more engaged tomorrow,"['center', 'politics', 'intern', 'campaign', 'engaged', 'tomorrow']"
University Police increase e-scooter traffic stop citations,News,university police increase escooter traffic stop citations,"['university', 'police', 'increase', 'escooter', 'traffic', 'stop', 'citation']"
Students react to President Ryan signing national letter defending higher education,News,students react to president ryan signing national letter defending higher education,"['student', 'react', 'president', 'ryan', 'signing', 'national', 'letter', 'defending', 'higher', 'education']"
"Virginia allowed to purge 1,600 voter registrations days before election",News,virginia allowed to purge  voter registrations days before election,"['virginia', 'allowed', 'purge', 'voter', 'registration', 'day', 'election']"
"A look at the past, present and future renovations of the Academical Village",News,a look at the past present and future renovations of the academical village,"['look', 'past', 'present', 'future', 'renovation', 'academical', 'village']"
College at Wise receives its largest ever donation from The Bill Gatton Foundation,News,college at wise receives its largest ever donation from the bill gatton foundation,"['college', 'wise', 'receives', 'largest', 'ever', 'donation', 'bill', 'gatton', 'foundation']"
Academic programs allow students and staff to spend spring break abroad,News,academic programs allow students and staff to spend spring break abroad,"['academic', 'program', 'allow', 'student', 'staff', 'spend', 'spring', 'break', 'abroad']"
Honor Committee considers fairness and efficiency for summer investigations,News,honor committee considers fairness and efficiency for summer investigations,"['honor', 'committee', 'considers', 'fairness', 'efficiency', 'summer', 'investigation']"
Guide Service will focus on historical tours after SSO agreement termination,News,guide service will focus on historical tours after sso agreement termination,"['guide', 'service', 'focus', 'historical', 'tour', 'sso', 'agreement', 'termination']"
"‘A Brighter Tomorrow’ campaigns on equity, unity, empowerment",News,a brighter tomorrow campaigns on equity unity empowerment,"['brighter', 'tomorrow', 'campaign', 'equity', 'unity', 'empowerment']"
"Honor Committee, Class Councils offer resources for students during exam season",News,honor committee class councils offer resources for students during exam season,"['honor', 'committee', 'class', 'council', 'offer', 'resource', 'student', 'exam', 'season']"
What to look out for as University student elections approach in March,News,what to look out for as university student elections approach in march,"['look', 'university', 'student', 'election', 'approach', 'march']"
"University offers admission to 6,746 early action applicants for the Class of 2029",News,university offers admission to  early action applicants for the class of ,"['university', 'offer', 'admission', 'early', 'action', 'applicant', 'class']"
AI at the University: Preparing for the future,News,ai at the university preparing for the future,"['ai', 'university', 'preparing', 'future']"
Student Council hears from Madison House Student Board Members,News,student council hears from madison house student board members,"['student', 'council', 'hears', 'madison', 'house', 'student', 'board', 'member']"
U.Va.’s search for a 10th president: A closer look at the timeline,News,uvas search for a th president a closer look at the timeline,"['uvas', 'search', 'th', 'president', 'closer', 'look', 'timeline']"
University administration hires outside counsel to review U.Va. Health faculty allegations,News,university administration hires outside counsel to review uva health faculty allegations,"['university', 'administration', 'hire', 'outside', 'counsel', 'review', 'uva', 'health', 'faculty', 'allegation']"
Beardsley’s appointment as president sees largely negative reception from state leaders,News,beardsleys appointment as president sees largely negative reception from state leaders,"['beardsleys', 'appointment', 'president', 'see', 'largely', 'negative', 'reception', 'state', 'leader']"
U.Va. Health’s suspension of gender affirming care draws opposition,News,uva healths suspension of gender affirming care draws opposition,"['uva', 'health', 'suspension', 'gender', 'affirming', 'care', 'draw', 'opposition']"
From the archives: Jan. 20 – Jan. 26,News,from the archives jan   jan ,"['archive', 'jan', 'jan']"
Housing 101: Students share insights for incoming first-years,News,housing  students share insights for incoming firstyears,"['housing', 'student', 'share', 'insight', 'incoming', 'firstyears']"
Honor Committee debates two bylaw proposals to improve investigation efficiency,News,honor committee debates two bylaw proposals to improve investigation efficiency,"['honor', 'committee', 'debate', 'two', 'bylaw', 'proposal', 'improve', 'investigation', 'efficiency']"
Finance Committee reviews U.Va.’s contribution to economy on region and state,News,finance committee reviews uvas contribution to economy on region and state,"['finance', 'committee', 'review', 'uvas', 'contribution', 'economy', 'region', 'state']"
What to expect as the University searches for its 10th president,News,what to expect as the university searches for its th president,"['expect', 'university', 'search', 'th', 'president']"
The Cavalier Daily joins amicus brief supporting The Stanford Daily in federal lawsuit,News,the cavalier daily joins amicus brief supporting the stanford daily in federal lawsuit,"['cavalier', 'daily', 'join', 'amicus', 'brief', 'supporting', 'stanford', 'daily', 'federal', 'lawsuit']"
Will the Faculty Senate’s no-confidence vote impact the U.Va. Board of Visitors?,News,will the faculty senates noconfidence vote impact the uva board of visitors,"['faculty', 'senate', 'noconfidence', 'vote', 'impact', 'uva', 'board', 'visitor']"
Center for Politics hosts Sen. Bernie Sanders to discuss the future of democracy,News,center for politics hosts sen bernie sanders to discuss the future of democracy,"['center', 'politics', 'host', 'sen', 'bernie', 'sander', 'discus', 'future', 'democracy']"
Laura Howard reflects on her time as Honor Committee Chair,News,laura howard reflects on her time as honor committee chair,"['laura', 'howard', 'reflects', 'time', 'honor', 'committee', 'chair']"
Sources say the provost search this spring was ‘unusual.’ Here’s why.,News,sources say the provost search this spring was unusual heres why,"['source', 'say', 'provost', 'search', 'spring', 'unusual', 'here']"
Honor Committee weighs bylaw changes to the guilt admission procedures,News,honor committee weighs bylaw changes to the guilt admission procedures,"['honor', 'committee', 'weighs', 'bylaw', 'change', 'guilt', 'admission', 'procedure']"
"U.Va. opens Fairfax campus, expanding opportunities for Northern Virginia professionals",News,uva opens fairfax campus expanding opportunities for northern virginia professionals,"['uva', 'open', 'fairfax', 'campus', 'expanding', 'opportunity', 'northern', 'virginia', 'professional']"
U.Va. launches National Security Data and Policy Institute,News,uva launches national security data and policy institute,"['uva', 'launch', 'national', 'security', 'data', 'policy', 'institute']"
Students for Justice in Palestine criticizes University at “die-in” on Lawn,News,students for justice in palestine criticizes university at diein on lawn,"['student', 'justice', 'palestine', 'criticizes', 'university', 'diein', 'lawn']"
U.Va. Architecture students to participate in Envision Resilience Challenge,News,uva architecture students to participate in envision resilience challenge,"['uva', 'architecture', 'student', 'participate', 'envision', 'resilience', 'challenge']"
"UJC celebrates 70th anniversary, adjudicates 10 cases in case-heavy fall semester",News,ujc celebrates th anniversary adjudicates  cases in caseheavy fall semester,"['ujc', 'celebrates', 'th', 'anniversary', 'adjudicates', 'case', 'caseheavy', 'fall', 'semester']"
University to hire more administrative staff to address graduate stipend concerns,News,university to hire more administrative staff to address graduate stipend concerns,"['university', 'hire', 'administrative', 'staff', 'address', 'graduate', 'stipend', 'concern']"
A look at Ryan’s presidential employment contract,News,a look at ryans presidential employment contract,"['look', 'ryans', 'presidential', 'employment', 'contract']"
U.Va. sees 11 percent increase in early decision applications for Class of 2029,News,uva sees  percent increase in early decision applications for class of ,"['uva', 'see', 'percent', 'increase', 'early', 'decision', 'application', 'class']"
U.Va. announces search committee for permanent president,News,uva announces search committee for permanent president,"['uva', 'announces', 'search', 'committee', 'permanent', 'president']"
"Faculty Senate struggles with issues of faculty representation, visibility",News,faculty senate struggles with issues of faculty representation visibility,"['faculty', 'senate', 'struggle', 'issue', 'faculty', 'representation', 'visibility']"
"Youngkin signs Hunger-Free Campus Bill, grants funding to combat food insecurity",News,youngkin signs hungerfree campus bill grants funding to combat food insecurity,"['youngkin', 'sign', 'hungerfree', 'campus', 'bill', 'grant', 'funding', 'combat', 'food', 'insecurity']"
Virginia Senate passes bill to legalize medically-assisted deaths in 21-19 vote,News,virginia senate passes bill to legalize medicallyassisted deaths in  vote,"['virginia', 'senate', 'pass', 'bill', 'legalize', 'medicallyassisted', 'death', 'vote']"
"University, Charlottesville and Albemarle partner to address public safety concerns",News,university charlottesville and albemarle partner to address public safety concerns,"['university', 'charlottesville', 'albemarle', 'partner', 'address', 'public', 'safety', 'concern']"
U.Va. Faculty Senate overwhelmingly adopts a no confidence vote in Board of Visitors,News,uva faculty senate overwhelmingly adopts a no confidence vote in board of visitors,"['uva', 'faculty', 'senate', 'overwhelmingly', 'adopts', 'confidence', 'vote', 'board', 'visitor']"
UJC elects next executive board,News,ujc elects next executive board,"['ujc', 'elect', 'next', 'executive', 'board']"
"Lawyer and activist Bryan Stevenson discusses racial justice, leadership and resilience",News,lawyer and activist bryan stevenson discusses racial justice leadership and resilience,"['lawyer', 'activist', 'bryan', 'stevenson', 'discusses', 'racial', 'justice', 'leadership', 'resilience']"
"U.Va. Health faculty demand removal of health system CEO, School of Medicine dean",News,uva health faculty demand removal of health system ceo school of medicine dean,"['uva', 'health', 'faculty', 'demand', 'removal', 'health', 'system', 'ceo', 'school', 'medicine', 'dean']"
"With four new appointees, entire Board of Visitors now Youngkin-appointed",News,with four new appointees entire board of visitors now youngkinappointed,"['four', 'new', 'appointee', 'entire', 'board', 'visitor', 'youngkinappointed']"
Previewing the December meeting of the Board of Visitors,News,previewing the december meeting of the board of visitors,"['previewing', 'december', 'meeting', 'board', 'visitor']"
Miller Center hosts top government officials to revisit moments of presidential leadership,News,miller center hosts top government officials to revisit moments of presidential leadership,"['miller', 'center', 'host', 'top', 'government', 'official', 'revisit', 'moment', 'presidential', 'leadership']"
Student Council announces launch of a pilot program to provide free Plan-B to students,News,student council announces launch of a pilot program to provide free planb to students,"['student', 'council', 'announces', 'launch', 'pilot', 'program', 'provide', 'free', 'planb', 'student']"
"Spanberger, Buttigieg draw over 1,000 to get-out-the-vote rally in Charlottesville",News,spanberger buttigieg draw over  to getoutthevote rally in charlottesville,"['spanberger', 'buttigieg', 'draw', 'getoutthevote', 'rally', 'charlottesville']"
Student Council unanimously passes 2025-26 academic year budget,News,student council unanimously passes  academic year budget,"['student', 'council', 'unanimously', 'pass', 'academic', 'year', 'budget']"
Virginia General Assembly demands answers about Ryan's resignation  in Aug. 1 letter,News,virginia general assembly demands answers about ryans resignation  in aug  letter,"['virginia', 'general', 'assembly', 'demand', 'answer', 'ryans', 'resignation', 'aug', 'letter']"
Graduating student leaders reflect on how they impacted the University community,News,graduating student leaders reflect on how they impacted the university community,"['graduating', 'student', 'leader', 'reflect', 'impacted', 'university', 'community']"
Miller Center event explores role of Christianity in democracy,News,miller center event explores role of christianity in democracy,"['miller', 'center', 'event', 'explores', 'role', 'christianity', 'democracy']"
"Hashmi and Jones win Democratic primaries for Lt. Gov and AG, before general election",News,hashmi and jones win democratic primaries for lt gov and ag before general election,"['hashmi', 'jones', 'win', 'democratic', 'primary', 'lt', 'gov', 'ag', 'general', 'election']"
Students weigh University autonomy and Jay Jones’ scandals in attorney general race,News,students weigh university autonomy and jay jones scandals in attorney general race,"['student', 'weigh', 'university', 'autonomy', 'jay', 'jones', 'scandal', 'attorney', 'general', 'race']"
"Charles Alexander, one of the Charlottesville 12, reflects on integration and life after",News,charles alexander one of the charlottesville  reflects on integration and life after,"['charles', 'alexander', 'one', 'charlottesville', 'reflects', 'integration', 'life']"
University introduces new drone show at 24th annual Lighting of the Lawn Ceremony,News,university introduces new drone show at th annual lighting of the lawn ceremony,"['university', 'introduces', 'new', 'drone', 'show', 'th', 'annual', 'lighting', 'lawn', 'ceremony']"
UJC to host second annual Judiciary Week starting Monday,News,ujc to host second annual judiciary week starting monday,"['ujc', 'host', 'second', 'annual', 'judiciary', 'week', 'starting', 'monday']"
"University Office of Diversity, Equity and Inclusion faces scrutiny after OpenTheBooks Report",News,university office of diversity equity and inclusion faces scrutiny after openthebooks report,"['university', 'office', 'diversity', 'equity', 'inclusion', 'face', 'scrutiny', 'openthebooks', 'report']"
"Faculty Senate proposal for interim president search was largely ignored, Seidman says",News,faculty senate proposal for interim president search was largely ignored seidman says,"['faculty', 'senate', 'proposal', 'interim', 'president', 'search', 'largely', 'ignored', 'seidman', 'say']"
Student Council holds final general body meeting of the 78th term,News,student council holds final general body meeting of the th term,"['student', 'council', 'hold', 'final', 'general', 'body', 'meeting', 'th', 'term']"
Travel 101: How out-of-state students travel to and from Charlottesville,News,travel  how outofstate students travel to and from charlottesville,"['travel', 'outofstate', 'student', 'travel', 'charlottesville']"
U.Va. Dine launches new partnership with ReusePass for reusable container program,News,uva dine launches new partnership with reusepass for reusable container program,"['uva', 'dine', 'launch', 'new', 'partnership', 'reusepass', 'reusable', 'container', 'program']"
Board of Visitors hears from Sheridan and Mahoney on U.Va.’s path forward,News,board of visitors hears from sheridan and mahoney on uvas path forward,"['board', 'visitor', 'hears', 'sheridan', 'mahoney', 'uvas', 'path', 'forward']"
Aggravated assault incidents reported in several locations,News,aggravated assault incidents reported in several locations,"['aggravated', 'assault', 'incident', 'reported', 'several', 'location']"
"Full Board discusses financial aid challenges, medical research and entrepreneurship",News,full board discusses financial aid challenges medical research and entrepreneurship,"['full', 'board', 'discusses', 'financial', 'aid', 'challenge', 'medical', 'research', 'entrepreneurship']"
Shooting reported on 800 block of Hardy Drive,News,shooting reported on  block of hardy drive,"['shooting', 'reported', 'block', 'hardy', 'drive']"
“We’re going to win Virginia” — Trump draws thousands to rally in Salem,News,were going to win virginia  trump draws thousands to rally in salem,"['going', 'win', 'virginia', 'trump', 'draw', 'thousand', 'rally', 'salem']"
Student Council passes safety resolution responding to Nov. 3 false shooter report,News,student council passes safety resolution responding to nov  false shooter report,"['student', 'council', 'pass', 'safety', 'resolution', 'responding', 'nov', 'false', 'shooter', 'report']"
Student reactions to Ryan’s resignation,News,student reactions to ryans resignation,"['student', 'reaction', 'ryans', 'resignation']"
Monticello hosts series of special events to remember Black history,News,monticello hosts series of special events to remember black history,"['monticello', 'host', 'series', 'special', 'event', 'remember', 'black', 'history']"
Honor Committee considers member probation policy for absenteeism,News,honor committee considers member probation policy for absenteeism,"['honor', 'committee', 'considers', 'member', 'probation', 'policy', 'absenteeism']"
Board of Visitors’ Buildings and Grounds Committee approves recommendation to rename Alderman Library to Edgar Shannon Library,News,board of visitors buildings and grounds committee approves recommendation to rename alderman library to edgar shannon library,"['board', 'visitor', 'building', 'ground', 'committee', 'approves', 'recommendation', 'rename', 'alderman', 'library', 'edgar', 'shannon', 'library']"
Student Council discusses Hurricane Helene relief efforts on Grounds,News,student council discusses hurricane helene relief efforts on grounds,"['student', 'council', 'discusses', 'hurricane', 'helene', 'relief', 'effort', 'ground']"
From the archives: April 22 – April 28,News,from the archives april   april ,"['archive', 'april', 'april']"
"Lighting of the Lawn to feature “Lights Up” theme, U.Va.’s first drone show",News,lighting of the lawn to feature lights up theme uvas first drone show,"['lighting', 'lawn', 'feature', 'light', 'theme', 'uvas', 'first', 'drone', 'show']"
Corner businesses carry on through winter break despite few students on Grounds,News,corner businesses carry on through winter break despite few students on grounds,"['corner', 'business', 'carry', 'winter', 'break', 'despite', 'student', 'ground']"
From the archives: Feb. 3 – Feb. 9,News,from the archives feb   feb ,"['archive', 'feb', 'feb']"
"University screens “The Path Forward,” encouraging Israeli-Palestinian reconciliation",News,university screens the path forward encouraging israelipalestinian reconciliation,"['university', 'screen', 'path', 'forward', 'encouraging', 'israelipalestinian', 'reconciliation']"
University sees increase in fraudulent emails and phishing attempts,News,university sees increase in fraudulent emails and phishing attempts,"['university', 'see', 'increase', 'fraudulent', 'email', 'phishing', 'attempt']"
"Democrats, Republicans fight after Cuccinelli’s appointment blocked in committee vote",News,democrats republicans fight after cuccinellis appointment blocked in committee vote,"['democrat', 'republican', 'fight', 'cuccinellis', 'appointment', 'blocked', 'committee', 'vote']"
Thomas Ackleson elected Honor Committee chair,News,thomas ackleson elected honor committee chair,"['thomas', 'ackleson', 'elected', 'honor', 'committee', 'chair']"
“We intend to stand up and fight”: Virginian politicians on Ryan’s departure,News,we intend to stand up and fight virginian politicians on ryans departure,"['intend', 'stand', 'fight', 'virginian', 'politician', 'ryans', 'departure']"
Shots fired incident reported on 300 block of 14th street,News,shots fired incident reported on  block of th street,"['shot', 'fired', 'incident', 'reported', 'block', 'th', 'street']"
Students return to snow-covered Grounds as the Spring 2025 semester begins,News,students return to snowcovered grounds as the spring  semester begins,"['student', 'return', 'snowcovered', 'ground', 'spring', 'semester', 'begin']"
Board of Visitors’ Finance Committee evaluates potential additions to Major Capital Plan,News,board of visitors finance committee evaluates potential additions to major capital plan,"['board', 'visitor', 'finance', 'committee', 'evaluates', 'potential', 'addition', 'major', 'capital', 'plan']"
Academic and Student Life Committee discusses undergraduate experience survey,News,academic and student life committee discusses undergraduate experience survey,"['academic', 'student', 'life', 'committee', 'discusses', 'undergraduate', 'experience', 'survey']"
"Justice Department reaches deal, suspends remaining investigations into U.Va.",News,justice department reaches deal suspends remaining investigations into uva,"['justice', 'department', 'reach', 'deal', 'suspends', 'remaining', 'investigation', 'uva']"
From the Archives: Community Service on Grounds,News,from the archives community service on grounds,"['archive', 'community', 'service', 'ground']"
University community leaders gather at the Rotunda to speak about interim President Mahoney,News,university community leaders gather at the rotunda to speak about interim president mahoney,"['university', 'community', 'leader', 'gather', 'rotunda', 'speak', 'interim', 'president', 'mahoney']"
"With two on-Grounds emergencies last week, how did University alert systems respond?",News,with two ongrounds emergencies last week how did university alert systems respond,"['two', 'ongrounds', 'emergency', 'last', 'week', 'university', 'alert', 'system', 'respond']"
Student Council and U.Va. Community Food Pantry support food access over breaks,News,student council and uva community food pantry support food access over breaks,"['student', 'council', 'uva', 'community', 'food', 'pantry', 'support', 'food', 'access', 'break']"
University hosts annual Trick-or-Treating on the Lawn event,News,university hosts annual trickortreating on the lawn event,"['university', 'host', 'annual', 'trickortreating', 'lawn', 'event']"
Students cast their votes in pivotal federal elections,News,students cast their votes in pivotal federal elections,"['student', 'cast', 'vote', 'pivotal', 'federal', 'election']"
Two senior U.Va. Health leaders quietly take new jobs without formal announcement,News,two senior uva health leaders quietly take new jobs without formal announcement,"['two', 'senior', 'uva', 'health', 'leader', 'quietly', 'take', 'new', 'job', 'without', 'formal', 'announcement']"
Podcast revolutionizes storytelling for Charlottesville and its sister city,News,podcast revolutionizes storytelling for charlottesville and its sister city,"['podcast', 'revolutionizes', 'storytelling', 'charlottesville', 'sister', 'city']"
"Committee on the College at Wise discusses housing, academic life",News,committee on the college at wise discusses housing academic life,"['committee', 'college', 'wise', 'discusses', 'housing', 'academic', 'life']"
